system:index,latitude,longitude,phosphorus,.geo
690_0,-28.678123979046465,21.66406058068935,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
691_0,-15.87655779060141,38.19782287949437,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
693_0,8.609018542282598,20.923758955046452,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
695_0,10.985637851166409,25.80565336659399,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
698_0,-13.499016654348926,23.581514554642467,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
699_0,6.277390415215537,13.779726995029133,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
700_0,0.6047178275746933,12.216927895246402,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
702_0,-13.065984671016608,24.941114737157363,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
709_0,-13.686570036622268,31.854728826798024,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
712_0,13.2354797767534,18.47701761569011,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
714_0,33.32609566051858,-6.050223575795656,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
723_0,-28.496384311681037,17.14760082672163,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
724_0,-7.945537769682262,36.211108797135644,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
725_0,2.193941276197602,10.527735834988052,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
729_0,13.86321424844772,3.472637088098567,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
732_0,16.013862096864532,4.08573726951014,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
736_0,-15.77803233448586,14.613812736334108,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
739_0,-27.012326521875167,28.733173046011096,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
747_0,7.9735288262308,44.76082451374318,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
748_0,14.997726518927507,-0.11864775475445592,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
752_0,-5.003817728974569,33.08173767337688,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
754_0,-5.727186791741143,29.11881979748361,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
755_0,16.340238700134613,-4.833455523455764,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
763_0,6.04267642314349,-2.5209224875468803,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
773_0,-7.768273268216981,35.173554643977596,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
774_0,5.2432127919138125,40.57692107795651,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
776_0,-1.7684289103588664,22.956556611480515,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
777_0,2.9666006805689813,33.71963135663015,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
781_0,14.956592868760415,3.7173381714927243,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
787_0,-18.267577066207885,15.082194325474028,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
790_0,1.37615971799931,18.7039320564587,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
791_0,6.067331604066973,15.188105697471718,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
793_0,-21.064589545101658,46.87851296452654,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
797_0,-20.020856838273456,21.326653359974056,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
799_0,-29.114378063189992,20.93750317889348,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
800_0,16.94082776355032,-7.885212206666603,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
806_0,14.705194665421432,-1.0316954095335376,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
809_0,-7.934861334375428,28.630495609036238,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
811_0,11.767397861099754,51.13841387334973,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
812_0,11.808552379474653,13.856532951821352,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
816_0,-5.1876918207486495,38.78154815111524,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
818_0,15.095582346883521,-6.8182831437178475,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
823_0,13.674230495555646,-6.20868639191434,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
828_0,1.9453602339494702,12.486961469652728,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
829_0,5.84378635991774,44.538491480923604,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
831_0,12.003160804886503,7.395939259962165,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
835_0,17.009132392829915,5.718874456039431,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
837_0,-17.329732594068254,13.336947391486621,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
